	CRIM	INDUS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B-1000	LSTAT	MEDV
1	0.00632	2.31	0.538	6.575	65.2	4.09	1	296	15.3	396.9	4.98	24
2	0.02731	7.07	0.469	6.421	78.9	4.9671	2	242	17.8	396.9	9.14	21.6
3	0.02729	7.07	0.469	7.185	61.1	4.9671	2	242	17.8	392.83	4.03	34.7
4	0.03237	2.18	0.458	6.998	45.8	6.0622	3	222	18.7	394.63	2.94	33.4
5	0.06905	2.18	0.458	7.147	54.2	6.0622	3	222	18.7	396.9	5.33	36.2
6	0.02985	2.18	0.458	6.43	58.7	6.0622	3	222	18.7	394.12	5.21	28.7
7	0.08829	7.87	0.524	6.012	66.6	5.5605	5	311	15.2	395.6	12.43	22.9
8	0.14455	7.87	0.524	6.172	96.1	5.9505	5	311	15.2	396.9	19.15	27.1
9	0.21124	7.87	0.524	5.631	100	6.0821	5	311	15.2	386.63	29.93	16.5
10	0.17004	7.87	0.524	6.004	85.9	6.5921	5	311	15.2	386.71	17.1	18.9
11	0.22489	7.87	0.524	6.377	94.3	6.3467	5	311	15.2	392.52	20.45	15
12	0.11747	7.87	0.524	6.009	82.9	6.2267	5	311	15.2	396.9	13.27	18.9
13	0.09378	7.87	0.524	5.889	39	5.4509	5	311	15.2	390.5	15.71	21.7
14	0.62976	8.14	0.538	5.949	61.8	4.7075	4	307	21	396.9	8.26	20.4
15	0.63796	8.14	0.538	6.096	84.5	4.4619	4	307	21	380.02	10.26	18.2
16	0.62739	8.14	0.538	5.834	56.5	4.4986	4	307	21	395.62	8.47	19.9
17	1.05393	8.14	0.538	5.935	29.3	4.4986	4	307	21	386.85	6.58	23.1
18	0.7842	8.14	0.538	5.99	81.7	4.2579	4	307	21	386.75	14.67	17.5
19	0.80271	8.14	0.538	5.456	36.6	3.7965	4	307	21	288.99	11.69	20.2
20	0.7258	8.14	0.538	5.727	69.5	3.7965	4	307	21	390.95	11.28	18.2
21	1.25179	8.14	0.538	5.57	98.1	3.7979	4	307	21	376.57	21.02	13.6
22	0.85204	8.14	0.538	5.965	89.2	4.0123	4	307	21	392.53	13.83	19.6
23	1.23247	8.14	0.538	6.142	91.7	3.9769	4	307	21	396.9	18.72	15.2
24	0.98843	8.14	0.538	5.813	100	4.0952	4	307	21	394.54	19.88	14.5
25	0.75026	8.14	0.538	5.924	94.1	4.3996	4	307	21	394.33	16.3	15.6
26	0.84054	8.14	0.538	5.599	85.7	4.4546	4	307	21	303.42	16.51	13.9
27	0.67191	8.14	0.538	5.813	90.3	4.682	4	307	21	376.88	14.81	16.6
28	0.95577	8.14	0.538	6.047	88.8	4.4534	4	307	21	306.38	17.28	14.8
29	0.77299	8.14	0.538	6.495	94.4	4.4547	4	307	21	387.94	12.8	18.4
30	1.00245	8.14	0.538	6.674	87.3	4.239	4	307	21	380.23	11.98	21
31	1.13081	8.14	0.538	5.713	94.1	4.233	4	307	21	360.17	22.6	12.7
32	1.35472	8.14	0.538	6.072	100	4.175	4	307	21	376.73	13.04	14.5
33	1.38799	8.14	0.538	5.95	82	3.99	4	307	21	232.6	27.71	13.2
34	1.15172	8.14	0.538	5.701	95	3.7872	4	307	21	358.77	18.35	13.1
35	1.61282	8.14	0.538	6.096	96.9	3.7598	4	307	21	248.31	20.34	13.5
36	0.06417	5.96	0.499	5.933	68.2	3.3603	5	279	19.2	396.9	9.68	18.9
37	0.09744	5.96	0.499	5.841	61.4	3.3779	5	279	19.2	377.56	11.41	20
38	0.08014	5.96	0.499	5.85	41.5	3.9342	5	279	19.2	396.9	8.77	21
39	0.17505	5.96	0.499	5.966	30.2	3.8473	5	279	19.2	393.43	10.13	24.7
40	0.02763	2.95	0.428	6.595	21.8	5.4011	3	252	18.3	395.63	4.32	30.8
41	0.03359	2.95	0.428	7.024	15.8	5.4011	3	252	18.3	395.62	1.98	34.9
42	0.12744	6.91	0.448	6.77	2.9	5.7209	3	233	17.9	385.41	4.84	26.6
43	0.1415	6.91	0.448	6.169	6.6	5.7209	3	233	17.9	383.37	5.81	25.3
44	0.15936	6.91	0.448	6.211	6.5	5.7209	3	233	17.9	394.46	7.44	24.7
45	0.12269	6.91	0.448	6.069	40	5.7209	3	233	17.9	389.39	9.55	21.2
46	0.17142	6.91	0.448	5.682	33.8	5.1004	3	233	17.9	396.9	10.21	19.3
47	0.18836	6.91	0.448	5.786	33.3	5.1004	3	233	17.9	396.9	14.15	20
48	0.22927	6.91	0.448	6.03	85.5	5.6894	3	233	17.9	392.74	18.8	16.6
49	0.25387	6.91	0.448	5.399	95.3	5.87	3	233	17.9	396.9	30.81	14.4
50	0.21977	6.91	0.448	5.602	62	6.0877	3	233	17.9	396.9	16.2	19.4
51	0.08873	5.64	0.439	5.963	45.7	6.8147	4	243	16.8	395.56	13.45	19.7
52	0.04337	5.64	0.439	6.115	63	6.8147	4	243	16.8	393.97	9.43	20.5
53	0.0536	5.64	0.439	6.511	21.1	6.8147	4	243	16.8	396.9	5.28	25
54	0.04981	5.64	0.439	5.998	21.4	6.8147	4	243	16.8	396.9	8.43	23.4
55	0.0136	4	0.41	5.888	47.6	7.3197	3	469	21.1	396.9	14.8	18.9
56	0.01311	1.22	0.403	7.249	21.9	8.6966	5	226	17.9	395.93	4.81	35.4
57	0.02055	0.74	0.41	6.383	35.7	9.1876	2	313	17.3	396.9	5.77	24.7
58	0.01432	1.32	0.411	6.816	40.5	8.3248	5	256	15.1	392.9	3.95	31.6
59	0.15445	5.13	0.453	6.145	29.2	7.8148	8	284	19.7	390.68	6.86	23.3
60	0.10328	5.13	0.453	5.927	47.2	6.932	8	284	19.7	396.9	9.22	19.6
61	0.14932	5.13	0.453	5.741	66.2	7.2254	8	284	19.7	395.11	13.15	18.7
62	0.17171	5.13	0.453	5.966	93.4	6.8185	8	284	19.7	378.08	14.44	16
